City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Mountain Home,US,85.48,broken clouds,43.133,-115.6912,Mountain Home Inn
141,Mundwa,IN,83.91,clear sky,27.0667,73.8167,Mahadev Guest House
142,Port Moresby,PG,85.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
143,Zemio,CF,69.06,overcast clouds,5.0314,25.1361,OCHA Office
144,Port Lincoln,AU,53.85,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
145,Krasnogorsk,RU,57.54,clear sky,55.8225,37.3181,"Hotel ""Academy"""
146,Lazaro Cardenas,MX,82.54,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
147,Lebu,CL,46.36,clear sky,-37.6167,-73.65,Hostal Las Lilas
148,King City,US,81.64,clear sky,36.2127,-121.126,Days Inn by Wyndham King City
149,Agua Verde,MX,86.09,overcast clouds,22.9,-106.05,
151,Bredasdorp,ZA,53.31,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
152,Fortuna,US,72.09,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
153,Natal,BR,75.42,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
154,Bud,US,75.04,clear sky,39.447,-86.1758,Ted McQuinn Trust
155,Shumikha,RU,65.32,broken clouds,55.2261,63.2961,Shumikha
156,Saint-Augustin,CA,56.88,clear sky,51.226,-58.6502,
157,Fairbanks,US,66.09,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
158,Longyearbyen,SJ,46.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
159,Bambous Virieux,MU,67.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
160,Chumikan,RU,55.85,overcast clouds,54.7183,135.315,Fortuna
161,Tiksi,RU,53.83,overcast clouds,71.6872,128.8694,Arktika
162,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
164,Paita,PE,63.01,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
165,Coracao De Jesus,BR,68.49,overcast clouds,-16.6853,-44.365,Hotel Neves
166,Puerto Princesa,PH,85.98,scattered clouds,9.7392,118.7353,Deep Forest Garden Inn
167,Norman Wells,CA,59.0,broken clouds,65.282,-126.8329,Heritage Hotel
169,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
170,Taltal,CL,58.35,few clouds,-25.4,-70.4833,Residencial Karime
171,Ostrovnoy,RU,58.37,overcast clouds,68.0531,39.5131,
172,Srednekolymsk,RU,77.45,overcast clouds,67.45,153.6833,
173,Alta Floresta,BR,76.14,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
174,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
175,Bay Roberts,CA,58.14,overcast clouds,47.5999,-53.2648,Stonewall Inn
176,Sayyan,YE,62.2,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
177,Mtsamboro,YT,74.52,clear sky,-12.6998,45.0689,4 Etoiles
178,Kedrovyy,RU,61.21,clear sky,56.1667,91.8167,
179,Half Moon Bay,US,81.59,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
180,Beneditinos,BR,74.77,scattered clouds,-5.45,-42.3667,"Pousada, Pesque-Pague e Churrascaria Cabo Miguel"
181,Asau,RO,59.92,few clouds,46.4333,26.4,Casa Mika Ciobanus
182,Margate,GB,67.89,clear sky,51.3813,1.3862,Premier Inn Margate hotel
183,Tocopilla,CL,59.22,clear sky,-22.092,-70.1979,Hotel Galvarino
184,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
185,Chapais,CA,56.82,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
186,Sao Jose Da Coroa Grande,BR,73.49,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
187,Kenai,US,68.09,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
188,Normandin,CA,61.75,scattered clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
189,Klaksvik,FO,52.72,scattered clouds,62.2266,-6.589,Airbnb rooms
190,Pundaguitan,PH,82.71,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
191,Kolobovo,RU,52.79,clear sky,56.702,41.3417,Toplyy Dom
192,Elizabethton,US,70.97,overcast clouds,36.3487,-82.2107,East Tennessee RV Park
193,Eyl,SO,77.09,overcast clouds,7.9803,49.8164,Amiin Hotel
194,Avera,US,75.25,light rain,33.194,-82.5271,
195,Rudovci,RS,63.05,clear sky,44.3801,20.4051,Rasino selo
197,La Asuncion,VE,78.53,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
198,Betsiamites,CA,56.55,clear sky,48.9413,-68.646,Pourvoirie du lac des îles
199,Sumter,US,83.08,overcast clouds,28.7086,-82.0831,Paradise Oaks RV Resort
201,Poum,NC,71.83,clear sky,-20.2333,164.0167,
203,Khairagarh,IN,83.75,overcast clouds,26.95,77.8167,Saleem Bhai Fruit Co.
204,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
205,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
206,Timmins,CA,58.08,clear sky,48.4669,-81.3331,The Senator Hotel & Conference Centre
207,Port Alfred,ZA,58.62,broken clouds,-33.5906,26.891,The Halyards Hotel
208,Mahebourg,MU,67.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
209,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
210,Linxia,CN,74.01,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
211,Plainview,US,78.26,few clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
213,Abreu E Lima,BR,76.86,scattered clouds,-7.9117,-34.9028,Pousada Shallon
214,Fort Nelson,CA,77.95,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
215,Almaznyy,RU,75.49,scattered clouds,48.0448,40.045,
216,Krasnoarmeysk,RU,67.59,scattered clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
217,Codrington,AU,53.44,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
218,Chudniv,UA,58.48,broken clouds,50.052,28.1175,Za lu pa
219,Husavik,IS,45.73,overcast clouds,66.0449,-17.3389,Bjarnabúð
221,Cayhagan,PH,82.92,broken clouds,9.6697,122.4256,Melrose Beach Resort
222,Mattru,SL,73.18,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
223,Tuatapere,NZ,45.64,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
224,Sembe,CG,73.78,overcast clouds,1.6481,14.5806,
225,Pietroasa,RO,57.15,clear sky,46.5833,22.55,Casa Otilia
226,Ust-Maya,RU,59.02,overcast clouds,60.4167,134.5333,
227,Sahuaripa,MX,71.49,overcast clouds,29.05,-109.2333,Estatua de Sahuaripa
228,Provins,FR,67.32,clear sky,48.5833,3.1667,Gîte de Corberon
